시군구,구,동,본번,부번,좌표X,좌표Y
서울특별시 강남구 논현동,강남구,논현동,212,13,127.03416369128014,37.513518374250864
서울특별시 강남구 논현동,강남구,논현동,192,3,127.03282781629277,37.50817706356468
서울특별시 강남구 논현동,강남구,논현동,205,2,127.03041501638064,37.506815459815584
서울특별시 강남구 논현동,강남구,논현동,252,0,127.03876568784348,37.5140682350373
서울특별시 강남구 논현동,강남구,논현동,214,2,127.03269761086621,37.5127284026164
서울특별시 강남구 논현동,강남구,논현동,102,9,127.03992191598522,37.51926455808029
서울특별시 강남구 논현동,강남구,논현동,215,14,127.03225801216186,37.51245625554629
서울특별시 강남구 논현동,강남구,논현동,108,0,127.03801445308085,37.51845490545247
서울특별시 강남구 논현동,강남구,논현동,241,1,127.04015368001595,37.516534350883234
서울특별시 강남구 논현동,강남구,논현동,196,4,127.0284025182878,37.50658210276852
서울특별시 강남구 논현동,강남구,논현동,105,3,127.03750334596218,37.518759366256816
서울특별시 강남구 논현동,강남구,논현동,275,0,127.03718107556858,37.51047463522193
서울특별시 강남구 논현동,강남구,논현동,105,0,127.03749433337391,37.52021952773605
서울특별시 강남구 논현동,강남구,논현동,252,1,127.03865730691406,37.51329264478436
서울특별시 강남구 논현동,강남구,논현동,258,0,127.03843400183544,37.512805039573905
서울특별시 강남구 논현동,강남구,논현동,216,1,127.03239553524895,37.51217737940299
서울특별시 강남구 논현동,강남구,논현동,47,11,127.0226371803415,37.51290449774178
서울특별시 강남구 논현동,강남구,논현동,43,3,127.02440066843604,37.51317300507641
서울특별시 강남구 논현동,강남구,논현동,55,0,127.02392978604345,37.51248607709736
서울특별시 강남구 논현동,강남구,논현동,22,0,127.0228951428423,37.51504175462629
서울특별시 강남구 논현동,강남구,논현동,103,0,127.03785928597158,37.5197612647647
서울특별시 강남구 논현동,강남구,논현동,107,44,127.03738449066142,37.5178485310107
서울특별시 강남구 논현동,강남구,논현동,180,6,127.0280456528993,37.50755414368083
서울특별시 강남구 논현동,강남구,논현동,138,9,127.02605970818178,37.510277304654345
서울특별시 강남구 논현동,강남구,논현동,194,22,127.03068418567635,37.50719509979911
서울특별시 강남구 논현동,강남구,논현동,229,13,127.03413372655412,37.509236809593276
서울특별시 강남구 논현동,강남구,논현동,44,9,127.02365032114317,37.51372882239871
서울특별시 강남구 논현동,강남구,논현동,62,3,127.03257067722664,37.52038041546586
서울특별시 강남구 논현동,강남구,논현동,267,18,127.04223696168485,37.512639567832856
서울특별시 강남구 논현동,강남구,논현동,104,23,127.03872380411387,37.51903454589461
서울특별시 강남구 논현동,강남구,논현동,228,9,127.03381865808917,37.50895614571988
서울특별시 강남구 논현동,강남구,논현동,80,13,127.03058253942378,37.51619925218312
서울특별시 강남구 논현동,강남구,논현동,217,34,127.03380726893185,37.512606597561714
서울특별시 강남구 논현동,강남구,논현동,79,7,127.03132463083888,37.5169593384299
서울특별시 강남구 논현동,강남구,논현동,221,7,127.03356575783039,37.50959511112911
서울특별시 강남구 논현동,강남구,논현동,105,4,127.03708310899654,37.52083985222966
서울특별시 강남구 논현동,강남구,논현동,194,23,127.03081798156899,37.50751110649109
서울특별시 강남구 논현동,강남구,논현동,261,8,127.03676689487303,37.51158168110355
서울특별시 강남구 논현동,강남구,논현동,261,0,127.03634802187605,37.511616091913886
서울특별시 강남구 대치동,강남구,대치동,503,0,127.05799876506022,37.49159877939328
서울특별시 강남구 대치동,강남구,대치동,500,0,127.05799876506022,37.49159877939328
서울특별시 강남구 대치동,강남구,대치동,891,26,127.05379281347938,37.50454452280883
서울특별시 강남구 대치동,강남구,대치동,891,23,127.05382391199656,37.505022360439824
서울특별시 강남구 대치동,강남구,대치동,1029,0,127.0609939264451,37.495900424311266
서울특별시 강남구 대치동,강남구,대치동,891,28,127.05417705490166,37.504618082325216
서울특별시 강남구 대치동,강남구,대치동,890,42,127.05256095104191,37.50431452344344
서울특별시 강남구 대치동,강남구,대치동,63,0,127.06846520106136,37.500957542409964
서울특별시 강남구 대치동,강남구,대치동,1015,6,127.05848717045491,37.49702679612604
서울특별시 강남구 대치동,강남구,대치동,907,2,127.0515941168746,37.50139045406146
서울특별시 강남구 대치동,강남구,대치동,938,11,127.05554106086326,37.49782697257584
서울특별시 강남구 대치동,강남구,대치동,938,13,127.05585733933808,37.49790928450062
서울특별시 강남구 대치동,강남구,대치동,670,0,127.05563532964956,37.491463722799125
서울특별시 강남구 대치동,강남구,대치동,920,32,127.05256543297862,37.49977169017612
서울특별시 강남구 대치동,강남구,대치동,1027,0,127.06018529123246,37.49489690646576
서울특별시 강남구 대치동,강남구,대치동,893,0,127.05617976519476,37.50459858311167
서울특별시 강남구 대치동,강남구,대치동,901,51,127.05546540593569,37.50295542357548
서울특별시 강남구 대치동,강남구,대치동,1014,1,127.05753685037314,37.49703225417852
서울특별시 강남구 대치동,강남구,대치동,1016,2,127.0601471774131,37.49753775025072
서울특별시 강남구 대치동,강남구,대치동,506,0,127.06298969196757,37.493149660411824
서울특별시 강남구 대치동,강남구,대치동,602,0,127.06090219311348,37.494178484815826
서울특별시 강남구 대치동,강남구,대치동,890,49,127.05157557296054,37.50449105865352
서울특별시 강남구 대치동,강남구,대치동,890,54,127.05149826343535,37.50417528957055
서울특별시 강남구 대치동,강남구,대치동,929,8,127.05841287942863,37.50003706049971
서울특별시 강남구 대치동,강남구,대치동,975,20,127.06211938511485,37.500771945541345
서울특별시 강남구 대치동,강남구,대치동,904,10,127.05639546700395,37.50256232186385
서울특별시 강남구 대치동,강남구,대치동,65,0,127.07062071765796,37.499919819401526
서울특별시 강남구 대치동,강남구,대치동,66,0,127.07136220413906,37.49884989361369
서울특별시 강남구 대치동,강남구,대치동,889,74,127.05058649461064,37.50339665562671
서울특별시 강남구 대치동,강남구,대치동,950,0,127.06226477212505,37.50687468623968
서울특별시 강남구 대치동,강남구,대치동,650,0,127.05716788910814,37.49246097428806
서울특별시 강남구 대치동,강남구,대치동,902,0,127.05749222411946,37.5045944933956
서울특별시 강남구 대치동,강남구,대치동,910,5,127.05503161120266,37.501700901025146
서울특별시 강남구 대치동,강남구,대치동,910,6,127.05498833690898,37.50136723505871
서울특별시 강남구 대치동,강남구,대치동,910,4,127.05479451143027,37.50161888533878
서울특별시 강남구 대치동,강남구,대치동,986,14,127.06385162681254,37.50055301394379
서울특별시 강남구 대치동,강남구,대치동,986,0,127.06338862362769,37.50040708601748
서울특별시 강남구 대치동,강남구,대치동,511,0,127.06856336649679,37.49569395714106
서울특별시 강남구 대치동,강남구,대치동,941,13,127.05971886729886,37.49919465705052
서울특별시 강남구 대치동,강남구,대치동,933,0,127.05709536269127,37.49899556443962
서울특별시 강남구 대치동,강남구,대치동,933,35,127.05728736436303,37.499050365732984
서울특별시 강남구 대치동,강남구,대치동,992,0,127.06531474510916,37.49991844137783
서울특별시 강남구 대치동,강남구,대치동,894,0,127.05482392412846,37.50428701915008
서울특별시 강남구 대치동,강남구,대치동,950,5,127.06249363353118,37.50643386831622
서울특별시 강남구 도곡동,강남구,도곡동,953,1,127.03441843098012,37.48525276089042
서울특별시 강남구 도곡동,강남구,도곡동,967,0,127.0411926869339,37.48913708746326
서울특별시 강남구 도곡동,강남구,도곡동,960,0,127.03936441219207,37.48660616265627
서울특별시 강남구 도곡동,강남구,도곡동,467,6,127.05066661756133,37.48813693446921
서울특별시 강남구 도곡동,강남구,도곡동,952,0,127.03352850391876,37.486484115166995
서울특별시 강남구 도곡동,강남구,도곡동,543,7,127.04211365889617,37.49207008235284
서울특별시 강남구 도곡동,강남구,도곡동,969,0,127.03706271703297,37.489328289395246
서울특별시 강남구 도곡동,강남구,도곡동,970,0,127.03774833113049,37.49004304882499
서울특별시 강남구 도곡동,강남구,도곡동,955,0,127.03578158311917,37.486141458715856
서울특별시 강남구 도곡동,강남구,도곡동,957,11,127.0358780376916,37.48517738126975
서울특별시 강남구 도곡동,강남구,도곡동,199,4,127.0435738433762,37.486343077848055
서울특별시 강남구 도곡동,강남구,도곡동,199,1,127.04353722293516,37.48678460337322
서울특별시 강남구 도곡동,강남구,도곡동,949,1,127.03318019784513,37.48792491670789
서울특별시 강남구 도곡동,강남구,도곡동,949,2,127.03288705842547,37.48777052674584
서울특별시 강남구 도곡동,강남구,도곡동,919,3,127.03757005877827,37.485932145815305
서울특별시 강남구 도곡동,강남구,도곡동,183,7,127.04561432300339,37.487477644701656
서울특별시 강남구 도곡동,강남구,도곡동,462,0,127.04614178358442,37.486298888889905
서울특별시 강남구 도곡동,강남구,도곡동,963,0,127.0409864926914,37.491407715205
서울특별시 강남구 도곡동,강남구,도곡동,966,0,127.04872,37.489193
서울특별시 강남구 삼성동,강남구,삼성동,129,0,127.05402,37.50865
서울특별시 강남구 삼성동,강남구,삼성동,188,0,127.051321691,37.51579097
서울특별시 강남구 삼성동,강남구,삼성동,14,1,127.0462561,37.5160546
서울특별시 강남구 삼성동,강남구,삼성동,126,0,127.05382164879222,37.50920465507491
서울특별시 강남구 세곡동,강남구,세곡동,525,0,127.1011882,37.4602887
서울특별시 강남구 세곡동,강남구,세곡동,508,0,127.1001458,37.4645363
서울특별시 강남구 세곡동,강남구,세곡동,511,0,127.1027666,37.4641686
서울특별시 강남구 세곡동,강남구,세곡동,579,0,127.1030382,37.4666728
서울특별시 강남구 세곡동,강남구,세곡동,533,0,127.0934913,37.4667727
서울특별시 강남구 수서동,강남구,수서동,795,0,127.0911995,37.4809973
서울특별시 강남구 수서동,강남구,수서동,712,0,127.1035545,37.489365
서울특별시 강남구 신사동,강남구,신사동,658,0,127.0373,37.52667
서울특별시 강남구 신사동,강남구,신사동,632,0,127.033620937,37.524050617
서울특별시 강남구 역삼동,강남구,역삼동,763,16,127.0472661,37.4951609
서울특별시 강남구 역삼동,강남구,역삼동,762,3,127.0472661,37.4951609
서울특별시 강남구 역삼동,강남구,역삼동,835,68,127.035424,37.492491
서울특별시 강남구 도곡동,강남구,도곡동,551,28,127.03663828953096,37.490282067665106
서울특별시 강남구 도곡동,강남구,도곡동,193,42,127.04463516902915,37.48666264971041
서울특별시 강남구 도곡동,강남구,도곡동,161,0,127.04630449957112,37.48931907366295
서울특별시 강남구 도곡동,강남구,도곡동,91,5,127.05149492736403,37.48960028692097
서울특별시 강남구 도곡동,강남구,도곡동,869,0,127.04215243631612,37.49127703547755
서울특별시 강남구 도곡동,강남구,도곡동,540,0,127.04657201030524,37.49371874030673
서울특별시 강남구 도곡동,강남구,도곡동,467,7,127.05200836211556,37.48886311886718
서울특별시 강남구 도곡동,강남구,도곡동,465,0,127.05039393557045,37.486450351345304
서울특별시 강남구 도곡동,강남구,도곡동,467,10,127.05258793458692,37.48841463455347
서울특별시 강남구 도곡동,강남구,도곡동,463,1,127.04758981755381,37.48626838822005
서울특별시 강남구 도곡동,강남구,도곡동,467,24,127.05185032099496,37.486915579058966
서울특별시 강남구 도곡동,강남구,도곡동,467,18,127.0510123236928,37.487074642426485
서울특별시 강남구 도곡동,강남구,도곡동,162,4,127.04677791080678,37.487725481688024
서울특별시 강남구 도곡동,강남구,도곡동,952,14,127.0340164476743,37.48623365964084
서울특별시 강남구 도곡동,강남구,도곡동,200,5,127.04392092477993,37.486930303009245
서울특별시 강남구 도곡동,강남구,도곡동,950,19,127.03510898240442,37.48698609330746
서울특별시 강남구 도곡동,강남구,도곡동,965,0,127.03898415507145,37.48590161777491
서울특별시 강남구 도곡동,강남구,도곡동,467,0,127.05347231582316,37.48806644951972
서울특별시 강남구 도곡동,강남구,도곡동,467,17,127.05396176161305,37.4894563946938
서울특별시 강남구 도곡동,강남구,도곡동,467,29,127.05252399108387,37.48775639863363
서울특별시 강남구 도곡동,강남구,도곡동,164,6,127.04765894079956,37.48793617127426
서울특별시 강남구 도곡동,강남구,도곡동,968,0,127.03475969800122,37.48858914052854
서울특별시 강남구 도곡동,강남구,도곡동,972,0,127.03905048368802,37.487993034164234
서울특별시 강남구 도곡동,강남구,도곡동,464,0,127.04975359009495,37.487601655300935
서울특별시 강남구 도곡동,강남구,도곡동,895,8,127.04061177580809,37.487945033748055
서울특별시 강남구 도곡동,강남구,도곡동,964,0,127.03953045212828,37.48904048437509
서울특별시 강남구 도곡동,강남구,도곡동,467,19,127.05155369831805,37.487338093392125
서울특별시 강남구 도곡동,강남구,도곡동,944,5,127.03416697188791,37.48931690696856
서울특별시 강남구 도곡동,강남구,도곡동,961,0,127.0379932584481,37.48884519728312
서울특별시 강남구 도곡동,강남구,도곡동,192,2,127.04456133789657,37.48764484880592
서울특별시 강남구 도곡동,강남구,도곡동,193,1,127.04496630190894,37.4880159672754
서울특별시 강남구 삼성동,강남구,삼성동,142,7,127.05083917652674,37.506543358461215
서울특별시 강남구 삼성동,강남구,삼성동,142,3,127.05094359521185,37.5061111033982
서울특별시 강남구 삼성동,강남구,삼성동,99,12,127.06555474237953,37.5170721785057
서울특별시 강남구 삼성동,강남구,삼성동,5,3,127.04643128763647,37.51698226233002
서울특별시 강남구 삼성동,강남구,삼성동,36,12,127.04474245714736,37.51184704330157
서울특별시 강남구 삼성동,강남구,삼성동,82,6,127.06167368967996,37.51895068903263
서울특별시 강남구 삼성동,강남구,삼성동,98,18,127.06457551378351,37.51811414693935
서울특별시 강남구 삼성동,강남구,삼성동,98,9,127.06429156827902,37.518293371228744
서울특별시 강남구 삼성동,강남구,삼성동,33,22,127.04401216093368,37.512853746488474
서울특별시 강남구 삼성동,강남구,삼성동,108,2,127.06226165673485,37.51515815580546
서울특별시 강남구 삼성동,강남구,삼성동,100,14,127.06582001763518,37.51620785087734
서울특별시 강남구 삼성동,강남구,삼성동,103,22,127.0641315283695,37.51662526992008
서울특별시 강남구 삼성동,강남구,삼성동,7,3,127.04333875216653,37.51566337877489
서울특별시 강남구 삼성동,강남구,삼성동,104,10,127.0641315283695,37.51662526992008
서울특별시 강남구 삼성동,강남구,삼성동,11,0,127.0451909922123,37.51624739393497
서울특별시 강남구 삼성동,강남구,삼성동,107,0,127.06057840392832,37.51468319967639
서울특별시 강남구 삼성동,강남구,삼성동,147,2,127.05599285602801,37.51323289264917
서울특별시 강남구 삼성동,강남구,삼성동,98,11,127.06404476797411,37.517922904118265
서울특별시 강남구 삼성동,강남구,삼성동,99,13,127.06515910996859,37.51699861402424
서울특별시 강남구 삼성동,강남구,삼성동,99,0,127.06487375702099,37.51742120103606
서울특별시 강남구 삼성동,강남구,삼성동,113,17,127.04693457245611,37.51047639484949
서울특별시 강남구 삼성동,강남구,삼성동,47,18,127.04954176515615,37.51345183281458
서울특별시 강남구 삼성동,강남구,삼성동,110,2,127.06578993536286,37.515540735749184
서울특별시 강남구 삼성동,강남구,삼성동,17,0,127.04868715321395,37.51819872163987
서울특별시 강남구 삼성동,강남구,삼성동,43,0,127.04768613247114,37.51343572783149
서울특별시 강남구 삼성동,강남구,삼성동,8,2,127.04233238911364,37.51554230720296
서울특별시 강남구 삼성동,강남구,삼성동,121,38,127.05340739827284,37.51036584144455
서울특별시 강남구 삼성동,강남구,삼성동,114,11,127.04882963962515,37.51144810124191
서울특별시 강남구 삼성동,강남구,삼성동,3,2,127.04438018794121,37.51746110052641
서울특별시 강남구 삼성동,강남구,삼성동,101,0,127.06485756299551,37.51631247188436
서울특별시 강남구 삼성동,강남구,삼성동,4,6,127.04553401339416,37.51752864078899
서울특별시 강남구 삼성동,강남구,삼성동,82,1,127.06111672371796,37.51937225843753
서울특별시 강남구 삼성동,강남구,삼성동,16,2,127.04718073782551,37.51655248671788
서울특별시 강남구 삼성동,강남구,삼성동,52,9,127.05120956996042,37.51837959089362
서울특별시 강남구 삼성동,강남구,삼성동,29,19,127.04580229901657,37.51433886955785
서울특별시 강남구 삼성동,강남구,삼성동,129,5,127.0544018511988,37.5086750439305
서울특별시 강남구 삼성동,강남구,삼성동,104,0,127.06243770439781,37.51601509767642
서울특별시 강남구 삼성동,강남구,삼성동,19,4,127.04999275593221,37.51749163148618
서울특별시 강남구 삼성동,강남구,삼성동,2,0,127.04275302799884,37.517076242722794
서울특별시 강남구 삼성동,강남구,삼성동,3,3,127.04486671108863,37.51747198987639
서울특별시 강남구 삼성동,강남구,삼성동,64,7,127.0529349665091,37.51748477760551
서울특별시 강남구 삼성동,강남구,삼성동,97,0,127.06393647373548,37.51903117350231
서울특별시 강남구 삼성동,강남구,삼성동,99,11,127.06541686269134,37.517432214176665
서울특별시 강남구 삼성동,강남구,삼성동,117,0,127.05202635988825,37.51236162603361
서울특별시 강남구 삼성동,강남구,삼성동,87,0,127.05953819490504,37.5183929168401
서울특별시 강남구 삼성동,강남구,삼성동,99,3,127.06500593635072,37.51804362437076
서울특별시 강남구 삼성동,강남구,삼성동,122,7,127.052229753506,37.51051461389615
서울특별시 강남구 삼성동,강남구,삼성동,75,3,127.0542581549063,37.5138122413999
서울특별시 강남구 삼성동,강남구,삼성동,130,6,127.05385060806488,37.508141161773715
서울특별시 강남구 삼성동,강남구,삼성동,53,2,127.05219206158101,37.51871682199719
서울특별시 강남구 삼성동,강남구,삼성동,144,14,127.05522060990084,37.50798408387493
서울특별시 강남구 삼성동,강남구,삼성동,78,4,127.05814728783957,37.5201453672586
서울특별시 강남구 삼성동,강남구,삼성동,4,3,127.04605284651322,37.51781005654805
서울특별시 강남구 삼성동,강남구,삼성동,129,20,127.05431524758114,37.50801672565681
서울특별시 강남구 삼성동,강남구,삼성동,106,0,127.06172772244689,37.515516718779885
서울특별시 강남구 삼성동,강남구,삼성동,48,0,127.04990092749694,37.513939934958934
서울특별시 강남구 삼성동,강남구,삼성동,6,0,127.0445994598965,37.51675888800596
서울특별시 강남구 삼성동,강남구,삼성동,143,37,127.05305873399303,37.506218274766994
서울특별시 강남구 삼성동,강남구,삼성동,50,0,127.05172930663474,37.51473106900807
서울특별시 강남구 삼성동,강남구,삼성동,37,0,127.04395584224241,37.510951664947996
서울특별시 강남구 삼성동,강남구,삼성동,79,0,127.05908642570454,37.520166904042526
서울특별시 강남구 세곡동,강남구,세곡동,516,0,127.10416015737262,37.46437901645224
서울특별시 강남구 수서동,강남구,수서동,799,0,127.09483712199557,37.48210430644793
서울특별시 강남구 수서동,강남구,수서동,746,0,127.0865956180891,37.4854829092864
서울특별시 강남구 수서동,강남구,수서동,738,0,127.0972605971119,37.48576311354978
서울특별시 강남구 수서동,강남구,수서동,747,0,127.0897776084927,37.48483600556514
서울특별시 강남구 수서동,강남구,수서동,708,0,127.10104059883534,37.489633771325884
서울특별시 강남구 수서동,강남구,수서동,736,0,127.09817666246946,37.48790246272358
서울특별시 강남구 신사동,강남구,신사동,524,8,127.021586909698,37.521445101865496
서울특별시 강남구 신사동,강남구,신사동,510,11,127.02068741146132,37.51876442940076
서울특별시 강남구 신사동,강남구,신사동,635,14,127.03452396858285,37.52656241373783
서울특별시 강남구 신사동,강남구,신사동,550,5,127.02365576292169,37.52355362142393
서울특별시 강남구 신사동,강남구,신사동,506,9,127.01961510504084,37.520103092496996
서울특별시 강남구 신사동,강남구,신사동,626,0,127.03071634191873,37.52374413136032
서울특별시 강남구 신사동,강남구,신사동,634,14,127.0343577973367,37.52598489155151
서울특별시 강남구 신사동,강남구,신사동,523,4,127.02067282419833,37.521044799367125
서울특별시 강남구 신사동,강남구,신사동,606,2,127.03070917158045,37.524888823810016
서울특별시 강남구 신사동,강남구,신사동,562,0,127.02623407271832,37.52028305900607
서울특별시 강남구 신사동,강남구,신사동,622,0,127.03191157231228,37.52625464144501
서울특별시 강남구 신사동,강남구,신사동,649,5,127.03514297942137,37.52529394132739
서울특별시 강남구 신사동,강남구,신사동,590,7,127.02923652755348,37.521511894553086
서울특별시 강남구 신사동,강남구,신사동,659,0,127.03723417681773,37.5275285006318
서울특별시 강남구 신사동,강남구,신사동,622,1,127.03245552312133,37.52613961997899
서울특별시 강남구 신사동,강남구,신사동,591,11,127.02904239327805,37.52179054077077
서울특별시 강남구 신사동,강남구,신사동,593,21,127.02971702070867,37.52248727260318
서울특별시 강남구 신사동,강남구,신사동,626,1,127.03099965417748,37.52368216189088
서울특별시 강남구 신사동,강남구,신사동,555,11,127.02476068526165,37.52063768180716
서울특별시 강남구 신사동,강남구,신사동,550,7,127.02406161640879,37.52379862346893
서울특별시 강남구 신사동,강남구,신사동,551,5,127.02377992925128,37.521823520389795
서울특별시 강남구 신사동,강남구,신사동,556,29,127.02587283443363,37.52193108979547
서울특별시 강남구 신사동,강남구,신사동,569,1,127.02629146051325,37.52373547988781
서울특별시 강남구 압구정동,강남구,압구정동,444,0,127.02712932948644,37.53084151100763
서울특별시 강남구 압구정동,강남구,압구정동,414,0,127.0201571888483,37.525576520558495
서울특별시 강남구 압구정동,강남구,압구정동,397,0,127.01844454443976,37.52439778883771
서울특별시 강남구 압구정동,강남구,압구정동,433,0,127.024450079497,37.526783672362534
서울특별시 강남구 압구정동,강남구,압구정동,434,0,127.024450079497,37.526783672362534
서울특별시 강남구 압구정동,강남구,압구정동,426,0,127.024450079497,37.526783672362534
서울특별시 강남구 압구정동,강남구,압구정동,490,0,127.03837637448316,37.529506937480804
서울특별시 강남구 압구정동,강남구,압구정동,493,0,127.04087092921462,37.530598287331685
서울특별시 강남구 압구정동,강남구,압구정동,489,0,127.03837637448316,37.529506937480804
서울특별시 강남구 압구정동,강남구,압구정동,486,0,127.03598607759288,37.52986712537858
서울특별시 강남구 압구정동,강남구,압구정동,513,0,127.04210068426433,37.52938623319361
서울특별시 강남구 압구정동,강남구,압구정동,484,0,127.03598607759288,37.52986712537858
서울특별시 강남구 압구정동,강남구,압구정동,528,0,127.04385375400913,37.52958230180479
서울특별시 강남구 압구정동,강남구,압구정동,510,0,127.04230043492919,37.530035982850606
서울특별시 강남구 압구정동,강남구,압구정동,436,0,127.02510185110282,37.53108575445426
서울특별시 강남구 압구정동,강남구,압구정동,448,0,127.02736216841764,37.52981489947775
서울특별시 강남구 압구정동,강남구,압구정동,447,0,127.02693447972268,37.53122831283535
서울특별시 강남구 압구정동,강남구,압구정동,369,1,127.02832301730726,37.53359541368413
서울특별시 강남구 압구정동,강남구,압구정동,443,0,127.03219963371043,37.53268243924138
서울특별시 강남구 압구정동,강남구,압구정동,462,0,127.03219963371043,37.53268243924138
서울특별시 강남구 압구정동,강남구,압구정동,455,0,127.02917856671179,37.53253523037731
서울특별시 강남구 압구정동,강남구,압구정동,456,0,127.02926413760706,37.531526055188685
서울특별시 강남구 압구정동,강남구,압구정동,481,0,127.03553194684812,37.53192042784595
서울특별시 강남구 역삼동,강남구,역삼동,828,21,127.03297299056895,37.497586676384834
서울특별시 강남구 역삼동,강남구,역삼동,828,76,127.03306467110761,37.497397753362044
서울특별시 강남구 역삼동,강남구,역삼동,755,4,127.05091981930731,37.498746909458674
서울특별시 강남구 역삼동,강남구,역삼동,796,29,127.03913280721954,37.49300491966531
서울특별시 강남구 역삼동,강남구,역삼동,823,7,127.03225522777643,37.4983950598079
서울특별시 강남구 역삼동,강남구,역삼동,712,0,127.04546141051902,37.50151123314308
서울특별시 강남구 역삼동,강남구,역삼동,716,3,127.05006042337291,37.500564385426536
서울특별시 강남구 역삼동,강남구,역삼동,754,0,127.04695881798958,37.498975152282476
서울특별시 강남구 역삼동,강남구,역삼동,755,1,127.04929681280787,37.4996150471375
서울특별시 강남구 역삼동,강남구,역삼동,783,28,127.0437519323851,37.494257712439605
서울특별시 강남구 역삼동,강남구,역삼동,794,28,127.03752035078023,37.4921603533997
서울특별시 강남구 역삼동,강남구,역삼동,722,0,127.04237858557438,37.500561917381184
서울특별시 강남구 역삼동,강남구,역삼동,775,14,127.04198697278629,37.49614373864263
서울특별시 강남구 역삼동,강남구,역삼동,835,67,127.03477020944148,37.49236588178832
서울특별시 강남구 역삼동,강남구,역삼동,728,10,127.04007364128925,37.49822745912736
서울특별시 강남구 역삼동,강남구,역삼동,747,0,127.0373150613022,37.496098492247235
서울특별시 강남구 역삼동,강남구,역삼동,794,24,127.037811906221,37.492576120071824
서울특별시 강남구 역삼동,강남구,역삼동,761,10,127.04627404675216,37.49622337723348
서울특별시 강남구 역삼동,강남구,역삼동,727,2,127.03911382141452,37.49793528335369
서울특별시 강남구 역삼동,강남구,역삼동,720,25,127.04268980331746,37.501473495195455
